party,per_2019,per_2014,state
NOTA,0.64%,0.78%,Assam
NOTA,0.64%,0.76%,Rajasthan
NOTA,0.64%,0.67%,Uttarakhand
NOTA,0.64%,0.61%,"Himachal Pradesh"
NOTA,0.64%,0.58%,"Andaman & Nicobar Islands"
NOTA,0.64%,0.56%,Karnataka
NOTA,0.64%,0.54%,Maharashtra
NOTA,0.64%,0.52%,Telangana
NOTA,0.64%,0.50%,Chandigarh
NOTA,0.64%,0.44%,"Jammu & Kashmir"
NOTA,0.64%,0.43%,"Uttar Pradesh"
NOTA,0.64%,0.42%,Manipur
NOTA,0.64%,0.31%,"NCT OF Delhi"
NOTA,0.64%,0.30%,Punjab
NOTA,0.64%,0.25%,Lakshadweep
NOTA,0.64%,0.23%,Nagaland
NOTA,0.64%,0.21%,Haryana
AIPF,0.64%,0.21%,"Uttar Pradesh"
AIPF,0.64%,0.04%,Haryana
BMUP,0.64%,0.32%,Jharkhand
BMUP,0.64%,0.28%,Bihar
BMUP,0.64%,0.26%,Maharashtra
BMUP,0.64%,0.25%,Rajasthan
BMUP,0.64%,0.24%,"West Bengal"
BMUP,0.64%,0.23%,Gujarat
BMUP,0.64%,0.18%,"Dadra & Nagar Haveli"
BMUP,0.64%,0.15%,"Uttar Pradesh"
BMUP,0.64%,0.14%,Telangana
BMUP,0.64%,0.14%,"Madhya Pradesh"
BMUP,0.64%,0.12%,Goa
BMUP,0.64%,0.09%,Chandigarh
BMUP,0.64%,0.08%,Punjab
BMUP,0.64%,0.08%,Karnataka
BMUP,0.64%,0.06%,"Himachal Pradesh"
BMUP,0.64%,0.05%,Haryana
BMUP,0.64%,0.04%,Uttarakhand
BMUP,0.64%,0.04%,"NCT OF Delhi"
AITC,0.64%,32.33%,"West Bengal"
AITC,0.64%,8.15%,Tripura
AITC,0.64%,2.97%,Manipur
AITC,0.64%,2.19%,Goa
AITC,0.64%,2.05%,"Arunachal Pradesh"
AITC,0.64%,2.02%,Jharkhand
AITC,0.64%,0.85%,"Andaman & Nicobar Islands"
AITC,0.64%,0.63%,Assam
AITC,0.64%,0.53%,Sikkim
AITC,0.64%,0.42%,Bihar
AITC,0.64%,0.31%,"Uttar Pradesh"
AITC,0.64%,0.27%,Maharashtra
AITC,0.64%,0.23%,Rajasthan
AITC,0.64%,0.14%,Haryana
AITC,0.64%,0.12%,"Madhya Pradesh"
AITC,0.64%,0.12%,Karnataka
AITC,0.64%,0.12%,"NCT OF Delhi"
AITC,0.64%,0.07%,Kerala
RAHIS,0.63%,NULL,NULL
CPIM,0.63%,0.90%,Jharkhand
CPIM,0.63%,0.41%,Punjab
CPIM,0.63%,0.17%,Karnataka
CPIM,0.63%,0.16%,"Madhya Pradesh"
CPIM,0.63%,0.13%,"Uttar Pradesh"
CPIM,0.63%,0.12%,Kerala
CPIM,0.63%,0.11%,Maharashtra
CPIM,0.63%,0.10%,"West Bengal"
CPIM,0.63%,0.08%,"Tamil Nadu"
SDP(MP),0.62%,NULL,NULL
NOTA,0.62%,2.47%,Puducherry
NOTA,0.62%,1.92%,Meghalaya
NOTA,0.62%,1.51%,"Dadra & Nagar Haveli"
NOTA,0.62%,1.18%,"Daman & Diu"
NOTA,0.62%,1.17%,Sikkim
NOTA,0.62%,1.12%,Gujarat
NOTA,0.62%,1.06%,"Tamil Nadu"
NOTA,0.62%,1.00%,Tripura
NOTA,0.62%,0.95%,Goa
NOTA,0.62%,0.94%,Jharkhand
NOTA,0.62%,0.93%,Mizoram
NOTA,0.62%,0.91%,Bihar
NOTA,0.62%,0.91%,"West Bengal"
NOTA,0.62%,0.87%,Kerala
NOTA,0.62%,0.83%,"Arunachal Pradesh"
NOTA,0.62%,0.81%,"Madhya Pradesh"
NOTA,0.62%,0.78%,Assam
NOTA,0.62%,0.76%,Rajasthan
NOTA,0.62%,0.67%,Uttarakhand
NOTA,0.62%,0.61%,"Himachal Pradesh"
NOTA,0.62%,0.58%,"Andaman & Nicobar Islands"
NOTA,0.62%,0.56%,Karnataka
NOTA,0.62%,0.54%,Maharashtra
NOTA,0.62%,0.52%,Telangana
NOTA,0.62%,0.50%,Chandigarh
NOTA,0.62%,0.44%,"Jammu & Kashmir"
NOTA,0.62%,0.43%,"Uttar Pradesh"
NOTA,0.62%,0.42%,Manipur
APoI,0.62%,0.39%,"Madhya Pradesh"
NOTA,0.62%,0.31%,"NCT OF Delhi"
NOTA,0.62%,0.30%,Punjab
NOTA,0.62%,0.25%,Lakshadweep
NOTA,0.62%,0.23%,Nagaland
NOTA,0.62%,0.21%,Haryana
APoI,0.62%,0.16%,Rajasthan
APoI,0.62%,0.16%,Maharashtra
CPIM,0.62%,0.90%,Jharkhand
CPIM,0.62%,0.41%,Punjab
CPIM,0.62%,0.17%,Karnataka
CPIM,0.62%,0.16%,"Madhya Pradesh"
CPIM,0.62%,0.13%,"Uttar Pradesh"
CPIM,0.62%,0.12%,Kerala
CPIM,0.62%,0.11%,Maharashtra
CPIM,0.62%,0.10%,"West Bengal"
CPIM,0.62%,0.08%,"Tamil Nadu"
BSP,0.62%,11.46%,"Uttar Pradesh"
BSP,0.62%,3.27%,Haryana
BSP,0.62%,2.92%,Uttarakhand
BSP,0.62%,2.59%,Chandigarh
BSP,0.62%,2.34%,"Madhya Pradesh"
BSP,0.62%,1.60%,Rajasthan
BSP,0.62%,1.57%,Maharashtra
BSP,0.62%,1.34%,Punjab
BSP,0.62%,1.20%,Bihar
BSP,0.62%,0.93%,"Jammu & Kashmir"
BSP,0.62%,0.80%,"NCT OF Delhi"
BSP,0.62%,0.69%,Jharkhand
BSP,0.62%,0.65%,Gujarat
BSP,0.62%,0.64%,Telangana
BSP,0.62%,0.57%,Karnataka
BSP,0.62%,0.50%,"Dadra & Nagar Haveli"
BSP,0.62%,0.48%,"Himachal Pradesh"
BSP,0.62%,0.45%,"West Bengal"
BSP,0.62%,0.44%,"Daman & Diu"
BSP,0.62%,0.42%,"Andaman & Nicobar Islands"
BSP,0.62%,0.29%,Kerala
BSP,0.62%,0.28%,"Tamil Nadu"
BSP,0.62%,0.23%,Puducherry
SADT,0.61%,NULL,NULL
AJPR,0.61%,NULL,NULL
SDPI,0.61%,1.74%,Karnataka
SDPI,0.61%,1.13%,Kerala
SDPI,0.61%,0.98%,"Tamil Nadu"
SDPI,0.61%,0.84%,"West Bengal"
SDPI,0.61%,0.28%,"Madhya Pradesh"
BJSTP,0.61%,NULL,NULL
LAJSP,0.60%,NULL,NULL
PHRC,0.60%,0.20%,"Madhya Pradesh"
PHRC,0.60%,0.06%,Haryana
PHRC,0.60%,0.04%,Uttarakhand
PHRC,0.60%,0.01%,"NCT OF Delhi"
CPIM,0.59%,0.90%,Jharkhand
CPIM,0.59%,0.41%,Punjab
CPIM,0.59%,0.17%,Karnataka
CPIM,0.59%,0.16%,"Madhya Pradesh"
CPIM,0.59%,0.13%,"Uttar Pradesh"
CPIM,0.59%,0.12%,Kerala
CPIM,0.59%,0.11%,Maharashtra
CPIM,0.59%,0.10%,"West Bengal"
CPIM,0.59%,0.08%,"Tamil Nadu"
RRP,0.59%,0.12%,"Uttar Pradesh"
CPI,0.59%,27.01%,Kerala
CPI,0.59%,26.14%,"West Bengal"
CPI,0.59%,23.08%,Manipur
CPI,0.59%,13.03%,Telangana
CPI,0.59%,12.42%,Bihar
CPI,0.59%,2.43%,Assam
CPI,0.59%,1.98%,"Tamil Nadu"
CPI,0.59%,1.90%,Jharkhand
CPI,0.59%,1.41%,Puducherry
CPI,0.59%,1.27%,Rajasthan
CPI,0.59%,1.15%,"Madhya Pradesh"
CPI,0.59%,0.95%,Goa
CPI,0.59%,0.94%,"Uttar Pradesh"
CPI,0.59%,0.86%,Maharashtra
CPI,0.59%,0.82%,Gujarat
CPI,0.59%,0.76%,Meghalaya
CPI,0.59%,0.74%,Punjab
CPI,0.59%,0.65%,Haryana
CPI,0.59%,0.64%,Karnataka
CPI,0.59%,0.51%,Uttarakhand
CPI,0.59%,0.36%,Lakshadweep
CPI,0.59%,0.26%,"NCT OF Delhi"
BSP,0.58%,11.46%,"Uttar Pradesh"
BSP,0.58%,3.27%,Haryana
BSP,0.58%,2.92%,Uttarakhand
BSP,0.58%,2.59%,Chandigarh
BSP,0.58%,2.34%,"Madhya Pradesh"
BSP,0.58%,1.60%,Rajasthan
BSP,0.58%,1.57%,Maharashtra
BSP,0.58%,1.34%,Punjab
BSP,0.58%,1.20%,Bihar
BSP,0.58%,0.93%,"Jammu & Kashmir"
BSP,0.58%,0.80%,"NCT OF Delhi"
BSP,0.58%,0.69%,Jharkhand
BSP,0.58%,0.65%,Gujarat
BSP,0.58%,0.64%,Telangana
BSP,0.58%,0.57%,Karnataka
BSP,0.58%,0.50%,"Dadra & Nagar Haveli"
BSP,0.58%,0.48%,"Himachal Pradesh"
BSP,0.58%,0.45%,"West Bengal"
BSP,0.58%,0.44%,"Daman & Diu"
BSP,0.58%,0.42%,"Andaman & Nicobar Islands"
BSP,0.58%,0.29%,Kerala
BSP,0.58%,0.28%,"Tamil Nadu"
BSP,0.58%,0.23%,Puducherry
BBMP,0.58%,0.29%,Bihar
JKP,0.58%,3.73%,Jharkhand
ravp,0.57%,0.40%,Bihar
BSP,0.57%,11.46%,"Uttar Pradesh"
BSP,0.57%,3.27%,Haryana
BSP,0.57%,2.92%,Uttarakhand
BSP,0.57%,2.59%,Chandigarh
BSP,0.57%,2.34%,"Madhya Pradesh"
BSP,0.57%,1.60%,Rajasthan
BSP,0.57%,1.57%,Maharashtra
BSP,0.57%,1.34%,Punjab
BSP,0.57%,1.20%,Bihar
BSP,0.57%,0.93%,"Jammu & Kashmir"
BSP,0.57%,0.80%,"NCT OF Delhi"
BSP,0.57%,0.69%,Jharkhand
BSP,0.57%,0.65%,Gujarat
BSP,0.57%,0.64%,Telangana
BSP,0.57%,0.57%,Karnataka
BSP,0.57%,0.50%,"Dadra & Nagar Haveli"
BSP,0.57%,0.48%,"Himachal Pradesh"
BSP,0.57%,0.45%,"West Bengal"
BSP,0.57%,0.44%,"Daman & Diu"
BSP,0.57%,0.42%,"Andaman & Nicobar Islands"
BSP,0.57%,0.29%,Kerala
BSP,0.57%,0.28%,"Tamil Nadu"
BSP,0.57%,0.23%,Puducherry
SABHP,0.57%,NULL,NULL
NOTA,0.57%,2.47%,Puducherry
NOTA,0.57%,1.92%,Meghalaya
NOTA,0.57%,1.51%,"Dadra & Nagar Haveli"
NOTA,0.57%,1.18%,"Daman & Diu"
NOTA,0.57%,1.17%,Sikkim
NOTA,0.57%,1.12%,Gujarat
NOTA,0.57%,1.06%,"Tamil Nadu"
NOTA,0.57%,1.00%,Tripura
NOTA,0.57%,0.95%,Goa
NOTA,0.57%,0.94%,Jharkhand
NOTA,0.57%,0.93%,Mizoram
NOTA,0.57%,0.91%,Bihar
NOTA,0.57%,0.91%,"West Bengal"
NOTA,0.57%,0.87%,Kerala
NOTA,0.57%,0.83%,"Arunachal Pradesh"
NOTA,0.57%,0.81%,"Madhya Pradesh"
NOTA,0.57%,0.78%,Assam
NOTA,0.57%,0.76%,Rajasthan
NOTA,0.57%,0.67%,Uttarakhand
NOTA,0.57%,0.61%,"Himachal Pradesh"
NOTA,0.57%,0.58%,"Andaman & Nicobar Islands"
NOTA,0.57%,0.56%,Karnataka
NOTA,0.57%,0.54%,Maharashtra
NOTA,0.57%,0.52%,Telangana
NOTA,0.57%,0.50%,Chandigarh
NOTA,0.57%,0.44%,"Jammu & Kashmir"
NOTA,0.57%,0.43%,"Uttar Pradesh"
NOTA,0.57%,0.42%,Manipur
NOTA,0.57%,0.31%,"NCT OF Delhi"
NOTA,0.57%,0.30%,Punjab
NOTA,0.57%,0.25%,Lakshadweep
NOTA,0.57%,0.23%,Nagaland
NOTA,0.57%,0.21%,Haryana
AKBMP,0.56%,0.36%,Bihar
AITC,0.56%,32.33%,"West Bengal"
AITC,0.56%,8.15%,Tripura
AITC,0.56%,2.97%,Manipur
AITC,0.56%,2.19%,Goa
AITC,0.56%,2.05%,"Arunachal Pradesh"
AITC,0.56%,2.02%,Jharkhand
AITC,0.56%,0.85%,"Andaman & Nicobar Islands"
AITC,0.56%,0.63%,Assam
AITC,0.56%,0.53%,Sikkim
AITC,0.56%,0.42%,Bihar
AITC,0.56%,0.31%,"Uttar Pradesh"
AITC,0.56%,0.27%,Maharashtra
AITC,0.56%,0.23%,Rajasthan
AITC,0.56%,0.14%,Haryana
AITC,0.56%,0.12%,"Madhya Pradesh"
AITC,0.56%,0.12%,Karnataka
AITC,0.56%,0.12%,"NCT OF Delhi"
AITC,0.56%,0.07%,Kerala
CPIM,0.56%,0.90%,Jharkhand
CPIM,0.56%,0.41%,Punjab
CPIM,0.56%,0.17%,Karnataka
CPIM,0.56%,0.16%,"Madhya Pradesh"
CPIM,0.56%,0.13%,"Uttar Pradesh"
CPIM,0.56%,0.12%,Kerala
CPIM,0.56%,0.11%,Maharashtra
CPIM,0.56%,0.10%,"West Bengal"
CPIM,0.56%,0.08%,"Tamil Nadu"
SamSP,0.55%,0.15%,"Madhya Pradesh"
BNJD,0.55%,0.34%,Gujarat
OPD,0.55%,NULL,NULL
NOTA,0.55%,2.47%,Puducherry
NOTA,0.55%,1.92%,Meghalaya
NOTA,0.55%,1.51%,"Dadra & Nagar Haveli"
NOTA,0.55%,1.18%,"Daman & Diu"
NOTA,0.55%,1.17%,Sikkim
NOTA,0.55%,1.12%,Gujarat
NOTA,0.55%,1.06%,"Tamil Nadu"
NOTA,0.55%,1.00%,Tripura
NOTA,0.55%,0.95%,Goa
NOTA,0.55%,0.94%,Jharkhand
NOTA,0.55%,0.93%,Mizoram
NOTA,0.55%,0.91%,Bihar
NOTA,0.55%,0.91%,"West Bengal"
NOTA,0.55%,0.87%,Kerala
NOTA,0.55%,0.83%,"Arunachal Pradesh"
NOTA,0.55%,0.81%,"Madhya Pradesh"
NOTA,0.55%,0.78%,Assam
NOTA,0.55%,0.76%,Rajasthan
NOTA,0.55%,0.67%,Uttarakhand
NOTA,0.55%,0.61%,"Himachal Pradesh"
NOTA,0.55%,0.58%,"Andaman & Nicobar Islands"
NOTA,0.55%,0.56%,Karnataka
NOTA,0.55%,0.54%,Maharashtra
NOTA,0.55%,0.52%,Telangana
NOTA,0.55%,0.50%,Chandigarh
NOTA,0.55%,0.44%,"Jammu & Kashmir"
NOTA,0.55%,0.43%,"Uttar Pradesh"
NOTA,0.55%,0.42%,Manipur
NOTA,0.55%,0.31%,"NCT OF Delhi"
NOTA,0.55%,0.30%,Punjab
NOTA,0.55%,0.25%,Lakshadweep
NOTA,0.55%,0.23%,Nagaland
NOTA,0.55%,0.21%,Haryana
SSD,0.55%,0.21%,Bihar
SSD,0.55%,0.19%,"Uttar Pradesh"
AITC,0.54%,32.33%,"West Bengal"
AITC,0.54%,8.15%,Tripura
AITC,0.54%,2.97%,Manipur
AITC,0.54%,2.19%,Goa
AITC,0.54%,2.05%,"Arunachal Pradesh"
AITC,0.54%,2.02%,Jharkhand
AITC,0.54%,0.85%,"Andaman & Nicobar Islands"
AITC,0.54%,0.63%,Assam
AITC,0.54%,0.53%,Sikkim
AITC,0.54%,0.42%,Bihar
AITC,0.54%,0.31%,"Uttar Pradesh"
AITC,0.54%,0.27%,Maharashtra
AITC,0.54%,0.23%,Rajasthan
AITC,0.54%,0.14%,Haryana
AITC,0.54%,0.12%,"Madhya Pradesh"
AITC,0.54%,0.12%,Karnataka
AITC,0.54%,0.12%,"NCT OF Delhi"
AITC,0.54%,0.07%,Kerala
GGP,0.54%,0.87%,"Madhya Pradesh"
GGP,0.54%,0.61%,Bihar
GGP,0.54%,0.23%,"Uttar Pradesh"
GGP,0.54%,0.16%,Maharashtra
IND,0.54%,29.10%,Mizoram
IND,0.54%,6.14%,Meghalaya
IND,0.54%,1.73%,Assam
IND,0.54%,1.36%,Kerala
IND,0.54%,1.19%,Manipur
IND,0.54%,0.90%,Rajasthan
IND,0.54%,0.56%,Bihar
IND,0.54%,0.53%,Goa
IND,0.54%,0.53%,"Arunachal Pradesh"
IND,0.54%,0.49%,"Jammu & Kashmir"
IND,0.54%,0.47%,"Dadra & Nagar Haveli"
IND,0.54%,0.38%,"West Bengal"
IND,0.54%,0.37%,Tripura
IND,0.54%,0.36%,Jharkhand
IND,0.54%,0.28%,Punjab
IND,0.54%,0.26%,"Andaman & Nicobar Islands"
IND,0.54%,0.26%,"NCT OF Delhi"
IND,0.54%,0.26%,"Madhya Pradesh"
IND,0.54%,0.25%,Telangana
IND,0.54%,0.22%,Gujarat
IND,0.54%,0.22%,"Uttar Pradesh"
IND,0.54%,0.21%,"Himachal Pradesh"
IND,0.54%,0.21%,Maharashtra
IND,0.54%,0.19%,Uttarakhand
IND,0.54%,0.17%,Chandigarh
IND,0.54%,0.16%,Puducherry
IND,0.54%,0.15%,Karnataka
IND,0.54%,0.12%,"Tamil Nadu"
IND,0.54%,0.10%,Haryana
IND,0.54%,29.10%,Mizoram
IND,0.54%,6.14%,Meghalaya
IND,0.54%,1.73%,Assam
IND,0.54%,1.36%,Kerala
IND,0.54%,1.19%,Manipur
IND,0.54%,0.90%,Rajasthan
IND,0.54%,0.56%,Bihar
IND,0.54%,0.53%,Goa
IND,0.54%,0.53%,"Arunachal Pradesh"
IND,0.54%,0.49%,"Jammu & Kashmir"
IND,0.54%,0.47%,"Dadra & Nagar Haveli"
IND,0.54%,0.38%,"West Bengal"
IND,0.54%,0.37%,Tripura
IND,0.54%,0.36%,Jharkhand
IND,0.54%,0.28%,Punjab
IND,0.54%,0.26%,"Andaman & Nicobar Islands"
IND,0.54%,0.26%,"NCT OF Delhi"
IND,0.54%,0.26%,"Madhya Pradesh"
IND,0.54%,0.25%,Telangana
IND,0.54%,0.22%,Gujarat
IND,0.54%,0.22%,"Uttar Pradesh"
IND,0.54%,0.21%,"Himachal Pradesh"
IND,0.54%,0.21%,Maharashtra
IND,0.54%,0.19%,Uttarakhand
IND,0.54%,0.17%,Chandigarh
IND,0.54%,0.16%,Puducherry
IND,0.54%,0.15%,Karnataka
IND,0.54%,0.12%,"Tamil Nadu"
IND,0.54%,0.10%,Haryana
NPRP,0.54%,NULL,NULL
JDR,0.54%,0.38%,Bihar
BKPP,0.53%,0.21%,"Uttar Pradesh"
BMUP,0.53%,0.32%,Jharkhand
BMUP,0.53%,0.28%,Bihar
BMUP,0.53%,0.26%,Maharashtra
BMUP,0.53%,0.25%,Rajasthan
BMUP,0.53%,0.24%,"West Bengal"
BMUP,0.53%,0.23%,Gujarat
BMUP,0.53%,0.18%,"Dadra & Nagar Haveli"
BMUP,0.53%,0.15%,"Uttar Pradesh"
BMUP,0.53%,0.14%,Telangana
BMUP,0.53%,0.14%,"Madhya Pradesh"
BMUP,0.53%,0.12%,Goa
BMUP,0.53%,0.09%,Chandigarh
BMUP,0.53%,0.08%,Punjab
BMUP,0.53%,0.08%,Karnataka
BMUP,0.53%,0.06%,"Himachal Pradesh"
BMUP,0.53%,0.05%,Haryana
BMUP,0.53%,0.04%,Uttarakhand
BMUP,0.53%,0.04%,"NCT OF Delhi"
APoI,0.53%,0.39%,"Madhya Pradesh"
APoI,0.53%,0.16%,Rajasthan
APoI,0.53%,0.16%,Maharashtra
NOTA,0.53%,2.47%,Puducherry
NOTA,0.53%,1.92%,Meghalaya
NOTA,0.53%,1.51%,"Dadra & Nagar Haveli"
NOTA,0.53%,1.18%,"Daman & Diu"
NOTA,0.53%,1.17%,Sikkim
NOTA,0.53%,1.12%,Gujarat
NOTA,0.53%,1.06%,"Tamil Nadu"
NOTA,0.53%,1.00%,Tripura
NOTA,0.53%,0.95%,Goa
NOTA,0.53%,0.94%,Jharkhand
NOTA,0.53%,0.93%,Mizoram
NOTA,0.53%,0.91%,Bihar
NOTA,0.53%,0.91%,"West Bengal"
NOTA,0.53%,0.87%,Kerala
NOTA,0.53%,0.83%,"Arunachal Pradesh"
NOTA,0.53%,0.81%,"Madhya Pradesh"
NOTA,0.53%,0.78%,Assam
NOTA,0.53%,0.76%,Rajasthan
NOTA,0.53%,0.67%,Uttarakhand
NOTA,0.53%,0.61%,"Himachal Pradesh"
NOTA,0.53%,0.58%,"Andaman & Nicobar Islands"
NOTA,0.53%,0.56%,Karnataka
NOTA,0.53%,0.54%,Maharashtra
NOTA,0.53%,0.52%,Telangana
NOTA,0.53%,0.50%,Chandigarh
NOTA,0.53%,0.44%,"Jammu & Kashmir"
NOTA,0.53%,0.43%,"Uttar Pradesh"
NOTA,0.53%,0.42%,Manipur
NOTA,0.53%,0.31%,"NCT OF Delhi"
NOTA,0.53%,0.30%,Punjab
NOTA,0.53%,0.25%,Lakshadweep
NOTA,0.53%,0.23%,Nagaland
NOTA,0.53%,0.21%,Haryana
AKBJHP,0.52%,0.57%,"West Bengal"
AKBJHP,0.52%,0.30%,Jharkhand
BSP,0.52%,11.46%,"Uttar Pradesh"
BSP,0.52%,3.27%,Haryana
BSP,0.52%,2.92%,Uttarakhand
BSP,0.52%,2.59%,Chandigarh
BSP,0.52%,2.34%,"Madhya Pradesh"
BSP,0.52%,1.60%,Rajasthan
BSP,0.52%,1.57%,Maharashtra
BSP,0.52%,1.34%,Punjab
BSP,0.52%,1.20%,Bihar
BSP,0.52%,0.93%,"Jammu & Kashmir"
BSP,0.52%,0.80%,"NCT OF Delhi"
BSP,0.52%,0.69%,Jharkhand
BSP,0.52%,0.65%,Gujarat
BSP,0.52%,0.64%,Telangana
BSP,0.52%,0.57%,Karnataka
BSP,0.52%,0.50%,"Dadra & Nagar Haveli"
BSP,0.52%,0.48%,"Himachal Pradesh"
BSP,0.52%,0.45%,"West Bengal"
BSP,0.52%,0.44%,"Daman & Diu"
BSP,0.52%,0.42%,"Andaman & Nicobar Islands"
BSP,0.52%,0.29%,Kerala
BSP,0.52%,0.28%,"Tamil Nadu"
BSP,0.52%,0.23%,Puducherry
PSPL,0.51%,NULL,NULL
NPEP,0.51%,40.80%,Meghalaya
NPEP,0.51%,5.02%,Rajasthan
NPEP,0.51%,0.35%,"Madhya Pradesh"
NCP,0.51%,43.40%,Lakshadweep
NCP,0.51%,29.82%,Bihar
NCP,0.51%,21.41%,Maharashtra
NCP,0.51%,15.62%,Gujarat
NCP,0.51%,6.71%,Manipur
NCP,0.51%,2.96%,Karnataka
NCP,0.51%,1.36%,"Arunachal Pradesh"
NCP,0.51%,0.82%,"Dadra & Nagar Haveli"
NCP,0.51%,0.72%,Rajasthan
NCP,0.51%,0.43%,"Andaman & Nicobar Islands"
NCP,0.51%,0.39%,"Uttar Pradesh"
NCP,0.51%,0.31%,Telangana
NCP,0.51%,0.15%,Punjab
RPI(KM),0.50%,NULL,NULL
BhAmAP,0.50%,NULL,NULL
AAAP,0.50%,21.42%,"NCT OF Delhi"
AAAP,0.50%,17.67%,Chandigarh
AAAP,0.50%,17.20%,Punjab
AAAP,0.50%,3.03%,Haryana
AAAP,0.50%,2.56%,Goa
AAAP,0.50%,1.69%,Mizoram
AAAP,0.50%,1.42%,Kerala
AAAP,0.50%,1.39%,"Andaman & Nicobar Islands"
AAAP,0.50%,1.35%,Maharashtra
AAAP,0.50%,1.32%,"Himachal Pradesh"
AAAP,0.50%,0.99%,Uttarakhand
AAAP,0.50%,0.92%,Puducherry
AAAP,0.50%,0.90%,Meghalaya
AAAP,0.50%,0.82%,"Arunachal Pradesh"
AAAP,0.50%,0.81%,Gujarat
AAAP,0.50%,0.73%,"Madhya Pradesh"
AAAP,0.50%,0.72%,Rajasthan
AAAP,0.50%,0.69%,Sikkim
AAAP,0.50%,0.65%,"Daman & Diu"
AAAP,0.50%,0.62%,"Uttar Pradesh"
AAAP,0.50%,0.59%,Jharkhand
AAAP,0.50%,0.59%,"Tamil Nadu"
AAAP,0.50%,0.55%,Karnataka
AAAP,0.50%,0.54%,Bihar
AAAP,0.50%,0.43%,Manipur
AAAP,0.50%,0.41%,Tripura
AAAP,0.50%,0.32%,"Dadra & Nagar Haveli"
AAAP,0.50%,0.30%,Telangana
AAAP,0.50%,0.26%,"Jammu & Kashmir"
AAAP,0.50%,0.25%,Assam
AAAP,0.50%,0.21%,"West Bengal"
SatBP,0.50%,NULL,NULL
MOSP,0.50%,0.19%,Bihar
MOSP,0.50%,0.10%,"Uttar Pradesh"
NOTA,0.50%,2.47%,Puducherry
NOTA,0.50%,1.92%,Meghalaya
NOTA,0.50%,1.51%,"Dadra & Nagar Haveli"
NOTA,0.50%,1.18%,"Daman & Diu"
NOTA,0.50%,1.17%,Sikkim
NOTA,0.50%,1.12%,Gujarat
NOTA,0.50%,1.06%,"Tamil Nadu"
NOTA,0.50%,1.00%,Tripura
NOTA,0.50%,0.95%,Goa
NOTA,0.50%,0.94%,Jharkhand
NOTA,0.50%,0.93%,Mizoram
NOTA,0.50%,0.91%,Bihar
NOTA,0.50%,0.91%,"West Bengal"
NOTA,0.50%,0.87%,Kerala
NOTA,0.50%,0.83%,"Arunachal Pradesh"
NOTA,0.50%,0.81%,"Madhya Pradesh"
NOTA,0.50%,0.78%,Assam
NOTA,0.50%,0.76%,Rajasthan
NOTA,0.50%,0.67%,Uttarakhand
NOTA,0.50%,0.61%,"Himachal Pradesh"
NOTA,0.50%,0.58%,"Andaman & Nicobar Islands"
NOTA,0.50%,0.56%,Karnataka
NOTA,0.50%,0.54%,Maharashtra
NOTA,0.50%,0.52%,Telangana
NOTA,0.50%,0.50%,Chandigarh
NOTA,0.50%,0.44%,"Jammu & Kashmir"
NOTA,0.50%,0.43%,"Uttar Pradesh"
NOTA,0.50%,0.42%,Manipur
NOTA,0.50%,0.31%,"NCT OF Delhi"
NOTA,0.50%,0.30%,Punjab
NOTA,0.50%,0.25%,Lakshadweep
NOTA,0.50%,0.23%,Nagaland
NOTA,0.50%,0.21%,Haryana
CHKAP,0.49%,NULL,NULL
NOTA,0.49%,2.47%,Puducherry
NOTA,0.49%,1.92%,Meghalaya
NOTA,0.49%,1.51%,"Dadra & Nagar Haveli"
NOTA,0.49%,1.18%,"Daman & Diu"
NOTA,0.49%,1.17%,Sikkim
NOTA,0.49%,1.12%,Gujarat
NOTA,0.49%,1.06%,"Tamil Nadu"
NOTA,0.49%,1.00%,Tripura
NOTA,0.49%,0.95%,Goa
NOTA,0.49%,0.94%,Jharkhand
NOTA,0.49%,0.93%,Mizoram
NOTA,0.49%,0.91%,Bihar
NOTA,0.49%,0.91%,"West Bengal"
NOTA,0.49%,0.87%,Kerala
NOTA,0.49%,0.83%,"Arunachal Pradesh"
NOTA,0.49%,0.81%,"Madhya Pradesh"
NOTA,0.49%,0.78%,Assam
NOTA,0.49%,0.76%,Rajasthan
NOTA,0.49%,0.67%,Uttarakhand
NOTA,0.49%,0.61%,"Himachal Pradesh"
NOTA,0.49%,0.58%,"Andaman & Nicobar Islands"
NOTA,0.49%,0.56%,Karnataka
NOTA,0.49%,0.54%,Maharashtra
NOTA,0.49%,0.52%,Telangana
NOTA,0.49%,0.50%,Chandigarh
NOTA,0.49%,0.44%,"Jammu & Kashmir"
NOTA,0.49%,0.43%,"Uttar Pradesh"
NOTA,0.49%,0.42%,Manipur
NOTA,0.49%,0.31%,"NCT OF Delhi"
NOTA,0.49%,0.30%,Punjab
NOTA,0.49%,0.25%,Lakshadweep
NOTA,0.49%,0.23%,Nagaland
NOTA,0.49%,0.21%,Haryana
BMUP,0.49%,0.32%,Jharkhand
BMUP,0.49%,0.28%,Bihar
BMUP,0.49%,0.26%,Maharashtra
BMUP,0.49%,0.25%,Rajasthan
BMUP,0.49%,0.24%,"West Bengal"
BMUP,0.49%,0.23%,Gujarat
BMUP,0.49%,0.18%,"Dadra & Nagar Haveli"
BMUP,0.49%,0.15%,"Uttar Pradesh"
BMUP,0.49%,0.14%,Telangana
BMUP,0.49%,0.14%,"Madhya Pradesh"
